,name,categories,lat,lng
0,Six PM,Hotel Bar,33.595939928184336,-7.618684038730457
1,Hyatt Regency Casablanca,Hotel,33.59619461505225,-7.618707525072999
2,Casa Jose,Tapas Restaurant,33.59782335889066,-7.615340563932578
3,Le Rouget de l'Isle,French Restaurant,33.59259131725702,-7.622856718338009
4,Le Riad Restaurant,Moroccan Restaurant,33.59393558750728,-7.614675501913633
5,Bab Marrakech,Historic Site,33.596756331974134,-7.6171801484858195
6,Cinéma Théâtre Rialto,Indie Movie Theater,33.59436313819177,-7.614684834404829
7,Cafe M,Bar,33.59559225527017,-7.618709986485756
8,[ 6 ],Café,33.5944477983031,-7.617726365808915
9,El Barocco Time,Diner,33.59547390009952,-7.61639220772256
10,Place Mohamed V,Plaza,33.59151984288678,-7.619651556015015
11,Ifrane,Restaurant,33.59261913856481,-7.617246340211871
12,City Park Cafe,Café,33.59293927249623,-7.620803495181599
13,Golden China,Chinese Restaurant,33.59716316817804,-7.6152942418855645
14,Osmanlı Turkish Restaurant,Kebab Restaurant,33.59640379025823,-7.614002019782116
15,Cazzini,Café,33.59564807006721,-7.61413377906109
16,Les Fleurs,Moroccan Restaurant,33.596625546789404,-7.61445866629129
17,McDonald's,Fast Food Restaurant,33.595308793147815,-7.620002617087593
18,Au Restaurant Des Fleurs,Restaurant,33.59665922587127,-7.614598147764345
19,Café Excelsior,Coffee Shop,33.596298947390125,-7.616941858996014
20,Istanbul Chawarma,Doner Restaurant,33.59363920650194,-7.616489467102834
21,Hotel & Spa Le Doge Casablanca,Hotel,33.59280012453161,-7.623439028785833
22,Alba,Restaurant,33.59308755671291,-7.617194226371669
23,Les Saisons Hotel Casablanca,Hotel,33.59707698231615,-7.615249585813099
24,Kenzi Basma Hotel,Hotel,33.59449274920133,-7.620714141222934
25,Le Cardinal,French Restaurant,33.59550257036407,-7.616968116744994
26,Place Prince Moulay Abdellah,Plaza,33.593664241729144,-7.616724751503595
27,Best Western Hotel Toubkal Casablanca,Hotel,33.59724,-7.614642
28,Place des Nations Unies,Plaza,33.59553722247184,-7.617905612615637
29,Tramway Station Place Nations Unies,Tram Station,33.595375699809836,-7.618220562827371
30,Restaurant ROMANO,Food,33.59533452775319,-7.616988218011319
31,McDonald's,Fast Food Restaurant,33.59557315215105,-7.617111375029392
32,Living Room,Restaurant,33.59619722302175,-7.618723813488974
33,Black House,Nightclub,33.59617129142439,-7.620060868112427
34,Regency Club,Hotel Bar,33.59611134701904,-7.618186268647969
35,Café Isis,Café,33.595242417667635,-7.6172278064815595
36,Pool,Hotel Pool,33.59624253808533,-7.619250653682859
37,jet 7,Pub,33.594319059380815,-7.614754217450018
38,Jamaa Souk Plaza,Plaza,33.597095,-7.617795
39,Café la loge,Café,33.592625011301685,-7.61706894662251
40,First,Pool Hall,33.59441848698737,-7.614366852998503
41,Cities,Lounge,33.59705469479689,-7.615326807265179
42,musee fondation abderahman slaoui,History Museum,33.59253080778917,-7.62272458061603
