,name,categories,lat,lng
0,Riad Monceau,Hotel,31.624644492033465,-7.987032796630782
1,Hôtel & Ryad Art Place,Hotel,31.625272568509544,-7.9878312002213505
2,Roti d'Or,Burger Joint,31.62677149601307,-7.986338766469453
3,Medina of Marrakech,Historic Site,31.625724158054037,-7.989342980616474
4,Les Bains de L'alhambra,Spa,31.624470488567976,-7.986322645383149
5,Riad Al Rimal,Bed & Breakfast,31.627110755140734,-7.991483888818366
6,Riad Dar Justo,Resort,31.62843088651423,-7.9902841882934
7,Riad le rihani,Bed & Breakfast,31.625557841771073,-7.985706181141145
8,Dar Attajmil (دار التجميل),Hotel,31.627564,-7.992063
9,Naranj,Bistro,31.624407,-7.985358
10,Hostel Riad Dia,Hostel,31.626606194960903,-7.9909248933885735
11,Café Kif Kif,Moroccan Restaurant,31.62521204188061,-7.9923275625347445
12,Café Bakchich,Café,31.62599426532838,-7.986332359445004
13,SHTATTO,Café,31.629211,-7.986674
14,Place Jemaa el-Fna (ساحة جامع الفناء),Plaza,31.625676955698115,-7.988704196295602
15,Les Jardins De La Koutoubia Hotel Marrakech,Hotel,31.62607306054623,-7.991837435342918
16,Riad L´heure d´ete,Hotel,31.62410379119175,-7.988171880356889
17,Le tobsil,Restaurant,31.62654827358606,-7.992153698942477
18,Blackchich,Moroccan Restaurant,31.623402,-7.985035
19,Palais Sebban,Hotel,31.62706899287492,-7.992141636309577
20,Riad Palais Des Princesses,Hotel,31.624404178014082,-7.986153405346907
21,Nomad,Moroccan Restaurant,31.62867345676989,-7.987486695831612
22,Café des Épices,Moroccan Restaurant,31.629009289134277,-7.987299067213561
23,Dar Cherifa,Moroccan Restaurant,31.629227786580838,-7.990248066786471
24,Corner Café,Moroccan Restaurant,31.62684,-7.986412
25,La cantine des gazelles,Moroccan Restaurant,31.625972,-7.986324
26,Riad Dixneuf,Hotel,31.628694583070352,-7.991600063930505
27,El Fenn,Hotel,31.627186590885604,-7.993034854307141
28,Henna Art Café,Tea Room,31.62367669940267,-7.987089073189133
29,Equity Point Marrakech,Bed & Breakfast,31.6294904163467,-7.9881791169041945
30,Rahba Kedima & Souks,Market,31.628786112044015,-7.987368090798922
31,Riad Rouge,Hostel,31.62351631886466,-7.985498966216039
32,Un déjeuner à Marrakech,Moroccan Restaurant,31.624059160935868,-7.9850057821815135
33,Portofino Pizzeria,Moroccan Restaurant,31.625275024468515,-7.993353888134247
34,Souks Marocains,Market,31.629804853229444,-7.987985570708048
35,BAZAAR - Café Marrakech,Café,31.628859189090512,-7.99108348087411
36,El Fenn Rooftop Terrace,Moroccan Restaurant,31.627351,-7.99321
37,Zwin'Zwin Café,Café,31.622261968748926,-7.986366107084525
38,Riad Chorfa,Bed & Breakfast,31.629216,-7.990087
39,Hostel Waka Waka,Hostel,31.62738234786264,-7.992249350954832
40,musee de mouassine Douiria Derb el Hammam,Museum,31.629318,-7.988832
41,Maktoub By Max & Jan,Boutique,31.629884,-7.989287
42,gastro MK,Restaurant,31.627370248198567,-7.992206933302504
43,Hotel Islane,Hotel,31.62539739413649,-7.993152018280539
44,Islane hotel restaurant,Moroccan Restaurant,31.625372149649777,-7.993117235847609
45,Cafe Laksour,Café,31.62706850225705,-7.993416204449448
46,Relais de Paris,Café,31.625708606218538,-7.992265491143973
47,Narwama,Thai Restaurant,31.626119958391914,-7.992148375508638
48,Riad Alamir,Bed & Breakfast,31.62716055573098,-7.992057877193575
49,Ground Zero,Café,31.625437958909046,-7.993138998460413
50,Dar Silsila,Bed & Breakfast,31.627988815307617,-7.9932379722595215
51,Palais Riad Lamrani,Hotel,31.629809,-7.990661
