,name,categories,lat,lng
0,Medina Rabat,Historic Site,34.02318273257726,-6.835578851481632
1,Café Bahia,Coffee Shop,34.02261315515727,-6.837639430463247
2,Pâtisserie Inza,Dessert Shop,34.02184423629179,-6.838388442993164
3,Café Carrion - La Renaissance,Coffee Shop,34.02013483492009,-6.837006700498846
4,La Renaissance,Movie Theater,34.02006633808728,-6.83738542055079
5,B&B Rabat Medina Hotel,Bed & Breakfast,34.02024482596871,-6.8346282875666216
6,Cinéma Renaissance,Comedy Club,34.02015041497277,-6.8372322385021524
7,Théatre Mohamed V,Theater,34.01970218923887,-6.83318161303277
8,Sotto Sopra,Italian Restaurant,34.019699197436715,-6.831099892123261
9,Casa José,Tapas Restaurant,34.01888,-6.836063
10,Le Grand Comptoir,French Restaurant,34.019023292370605,-6.836271453236925
11,Restaurant Saadi,Moroccan Restaurant,34.01934275017071,-6.834720441550057
12,Amnesia,Nightclub,34.02163062698663,-6.836011733442404
13,7ème Art,Coffee Shop,34.02020191557683,-6.835796469935176
14,Sandway,Snack Place,34.02173451738666,-6.836593475765399
15,Souika,Department Store,34.02226714344919,-6.838494389154594
16,Cinéma 7éme Art,Movie Theater,34.020145712967036,-6.835908609523033
17,La Grande Terrasse,Café,34.02077331330158,-6.833476410626779
18,Youm Youm,Burger Joint,34.01798347735425,-6.834184886186339
19,La Mamma,Italian Restaurant,34.01836903455429,-6.834819600336652
20,Hotel Malak,Hotel,34.02185849120199,-6.830951946410692
21,Odyssia,Diner,34.02179928071731,-6.835641662408469
22,La Comédie,Café,34.020171602538554,-6.836937796126252
23,Café Balima,Café,34.01816318923386,-6.835529913236507
24,Majestic,Bakery,34.020503076234064,-6.836075067213292
25,La Petite Duchesse,Café,34.018055081595534,-6.834444413676439
26,Grillade Adil,BBQ Joint,34.021086577926994,-6.837991507595452
27,Cinema Royal,Movie Theater,34.0208991754633,-6.835306671498361
28,Livre Service,Bookstore,34.020552411837365,-6.836411101176151
29,سويقة الرباط,Clothing Store,34.02403921678569,-6.832181917385764
30,La Ruche,Moroccan Restaurant,34.019843118685955,-6.83439746823169
31,Souke centre ville,Diner,34.024197,-6.836931
32,Café Le Fleuron,Café,34.01942936904004,-6.834286006687724
33,Joutia Lgza,Antique Shop,34.022979615132364,-6.839305737918502
34,Pâtisserie Boulangerie Choumoue Al Farah,Café,34.020622996148106,-6.830910075467155
35,Hotel Rabat,Hotel,34.02052888811923,-6.829981193532344
36,Marché central,Fish Market,34.022346093870816,-6.838892210512243
37,Dar El Medina,Moroccan Restaurant,34.02628805698394,-6.833442449569701
