,name,categories,lat,lng
0,pizzeria mehdi,Pizza Place,33.005181820655345,-7.6197337072811315
1,Kasbah Ismailia,Historic Site,33.003153974529965,-7.619796091119079
2,jardin de la poste,Garden,33.001986258671565,-7.6198119777103175
3,Hôtel Al Massira,Resort,33.002444054796456,-7.618657561508887
4,Café Residence,Café,32.998365,-7.61958
5,Snack Taiba,Snack Place,33.005392287671626,-7.619801386649089
6,La Bel Vie,Flea Market,33.00550833281778,-7.619144743995929
7,mariuno,Italian Restaurant,32.9986778738172,-7.620229872054757
8,focus,Hookah Bar,32.99802659905236,-7.621109394883459
9,itri plus,Diner,33.00545895923397,-7.619183401094945
