,name,categories,lat,lng
0,Davinci Café,Café,35.777475553448774,-5.805924097534854
1,La Corniche Tanger,Plaza,35.77768200141788,-5.801192748491123
2,Ali Baba,Moroccan Restaurant,35.77956055721978,-5.803612434096951
3,El Tangerino,Diner,35.777344242022615,-5.7985483518815615
4,Chi Cafe & restaurant,Italian Restaurant,35.779600352768306,-5.807704559253223
5,Smöoy Tanger,Ice Cream Shop,35.778217827268946,-5.808817664086312
6,Hotel El Oumnia Puerto,Hotel,35.77624258086866,-5.799353468284738
7,Crémerie Omnia,Sandwich Place,35.776699664569755,-5.799516474330713
8,Luigi Ristorante del Mare,Italian Restaurant,35.77749214757228,-5.798863919366035
9,La Gelateria,Ice Cream Shop,35.77750910172061,-5.798978060852229
10,Ibn Batouta Mall,Shopping Mall,35.777331,-5.802439
11,Romaina,Restaurant,35.77423154147446,-5.800868415096732
12,Boca Chica,Lounge,35.78023293787211,-5.803198046474691
13,Mona Lisa,Café,35.77710830476447,-5.799713285551074
14,Caesars Plaza,Diner,35.775898492416076,-5.8023922825211764
15,place des nations,Plaza,35.77666075514778,-5.80435895261049
16,555 Famous Club | Tanger,Nightclub,35.78018588422721,-5.803427681465693
17,Puerto Marina Restaurant,Mediterranean Restaurant,35.77611326869617,-5.799908939174031
18,Pizza Hut,Pizza Place,35.777581197654854,-5.802916025286518
19,Tanger Boulevard,Shopping Mall,35.77969964588935,-5.807700380698285
20,Crèmerie Tropicana,Juice Bar,35.777163792887144,-5.800529567040232
21,Pasta Fissa3,Italian Restaurant,35.77976308907689,-5.807509878239741
22,Hotel Rif & Spa,Hotel,35.77923430809032,-5.803684812453567
23,Café Terrasse Boulevard,Café,35.77989593323221,-5.807219226196707
24,Otori Sushi,Japanese Restaurant,35.77723835183488,-5.808130534712319
25,Segafredo,Café,35.773246239846145,-5.8030823955618525
26,Café Passion,Diner,35.77970326807152,-5.807451162396324
27,chicken spot city,Fried Chicken Joint,35.77346925793294,-5.801043451948184
28,Le Savouret,Diner,35.778224053573496,-5.806251818234986
29,Comedia,Breakfast Spot,35.77871953919397,-5.807931437902839
30,Comedia 2,Diner,35.77966967764345,-5.8074329615062705
31,Sky Lounge,Nightclub,35.77747187802381,-5.799787316488966
32,Tanja Marina Bay,Harbor / Marina,35.7793,-5.802698
33,Odessa Café,Café,35.77883648755854,-5.80137293447045
34,Di Napoli Pizza,Fast Food Restaurant,35.77494989641479,-5.800832378161515
35,restaurant El bachir,Seafood Restaurant,35.77764252242979,-5.807849693860147
36,Obun's,Snack Place,35.773318067832136,-5.800942668256684
37,Boulevard Defacto,Shopping Mall,35.778984,-5.807923
38,la casa della pizza,Pizza Place,35.77718952219943,-5.808982426535651
39,Sabrine Supermarket,Supermarket,35.77491,-5.7992783
40,Agence Maroc Telecom Ibn Taymiya,Mobile Phone Shop,35.77372977286813,-5.807077388423746
